text_id,align_idx,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
1_2_6,87,Ele,189.96352583586625,177.0,189.96352583586625,60,1316
1_2_6,88,Adv,192.14744351961951,180.0,192.14744351961951,60,841
1_2_6,88,Ele,197.06849315068493,179.0,197.06849315068493,60,730
1_2_6,89,Adv,199.34627492130116,182.0,199.34627492130116,60,953
1_2_6,89,Ele,196.39027149321268,185.0,196.39027149321268,60,884
1_3_1,90,Adv,186.98396407953817,174.0,186.98396407953817,60,1559
1_3_1,90,Ele,186.1599690880989,175.0,186.1599690880989,60,1294
1_3_1,91,Adv,200.75546558704454,187.0,200.75546558704454,60,1235
1_3_1,91,Ele,193.29990448901623,179.0,193.29990448901623,60,1047
1_3_1,92,Adv,195.5432372505543,180.5,195.5432372505543,60,902
1_3_1,92,Ele,195.21621621621622,177.0,195.21621621621622,60,1036
1_3_1,93,Adv,181.74883720930234,173.0,181.74883720930234,59,645
1_3_1,93,Ele,193.35284280936455,179.0,193.35284280936455,60,598
1_3_2,94,Adv,196.87684301821335,184.0,196.87684301821335,60,1153
1_3_2,94,Ele,201.37444444444444,190.0,201.37444444444444,60,900
1_3_2,95,Adv,196.8900067069081,182.0,196.8900067069081,60,1491
1_3_2,95,Ele,196.05060858424088,183.0,196.05060858424088,60,1561
1_3_2,96,Adv,201.53004622496147,190.0,201.53004622496147,60,1298
1_3_2,96,Ele,196.9567387687188,181.0,196.9567387687188,60,601
1_3_2,97,Adv,192.63831967213116,182.0,192.63831967213116,60,976
1_3_2,97,Ele,194.99221032132425,185.0,194.99221032132425,60,1027
1_3_3,98,Adv,195.9449715370019,183.0,195.9449715370019,60,1054
1_3_3,98,Ele,188.6752,177.0,188.6752,60,1250
1_3_3,99,Adv,192.59154929577466,177.0,192.59154929577466,59,213
1_3_3,99,Ele,202.01098901098902,188.0,202.01098901098902,60,182
1_3_3,100,Adv,198.57226277372263,188.0,198.57226277372263,60,685
1_3_3,100,Ele,196.96198347107438,185.0,196.96198347107438,60,605
1_3_3,101,Adv,187.61426491994177,177.0,187.61426491994177,60,687
1_3_3,101,Ele,195.60526315789474,183.5,195.60526315789474,59,190
1_3_3,102,Adv,192.45663716814158,182.0,192.45663716814158,60,1130
1_3_3,102,Ele,186.56521739130434,172.0,186.56521739130434,60,391
1_3_3,103,Adv,183.02857142857144,170.0,183.02857142857144,60,245
1_3_3,103,Ele,175.9704641350211,161.0,175.9704641350211,59,237
1_3_3,104,Adv,187.42170671085336,175.0,187.42170671085336,60,1207
1_3_3,104,Ele,187.47890088321884,177.0,187.47890088321884,60,1019
1_3_3,105,Adv,207.22028985507245,179.0,207.22028985507245,60,690
1_3_3,105,Ele,216.24196597353497,182.0,216.24196597353497,60,529
1_3_4,106,Adv,197.1543574593796,178.0,197.1543574593796,60,1354
1_3_4,106,Ele,194.4750593824228,181.0,194.4750593824228,60,421
1_3_4,107,Adv,202.77337110481585,190.0,202.77337110481585,60,706
1_3_4,107,Ele,190.88692098092642,174.0,190.88692098092642,59,734
1_3_4,108,Adv,190.19180819180818,178.0,190.19180819180818,60,1001
1_3_4,108,Ele,185.219,172.0,185.219,60,1000
