text_id,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
3_2_2,Adv,228.12225851609892,0.0,465.14367269267365,52,2143
3_2_2,Ele,138.51027397260273,0.0,355.2258469259724,55,2044
3_2_3,Adv,238.87581227436823,0.0,501.65731614859743,52,2770
3_2_3,Ele,186.2786312849162,0.0,402.0361718161266,55,2864
3_2_4,Adv,212.66597222222222,0.0,439.36728837876615,52,2880
3_2_4,Ele,217.96993842810576,0.0,450.1234106207928,55,2761
3_2_5,Adv,211.37137862137862,0.0,449.4588422729687,55,4004
3_2_5,Ele,205.8740740740741,0.0,445.2359827479975,52,3510
3_3_1,Adv,225.1494018834309,0.0,489.81838316722036,55,3929
3_3_1,Ele,197.32214249103023,0.0,453.44581861012955,52,3902
3_3_2,Adv,218.60010373443984,0.0,465.4456101601325,55,3856
3_3_2,Ele,218.88276492082827,0.0,461.6640976236352,52,3284
3_3_3,Adv,206.552783109405,0.0,444.423598820059,52,3647
3_3_3,Ele,170.1988864831426,0.0,400.76693372177715,55,3233
3_3_4,Adv,225.39478067740146,0.0,479.26328217237307,52,3602
3_3_4,Ele,177.61771919068056,0.0,432.05741983594334,55,3262
3_3_5,Adv,192.13759016831418,0.0,462.48938906752414,55,3743
3_3_5,Ele,180.7447429906542,0.0,431.8702023726448,52,3424
3_4_1,Adv,160.86849315068494,0.0,435.2990115321252,51,3285
3_4_1,Ele,104.27288354103996,0.0,342.2327221438646,55,2327
3_4_2,Adv,177.01743027888446,0.0,444.03622735790134,55,4016
3_4_2,Ele,179.8931013051585,0.0,430.40594795539033,51,3218
3_4_3,Adv,166.51540945113004,0.0,397.55991590749824,55,3407
3_4_3,Ele,113.84095860566448,0.0,393.47138554216866,51,2295
3_4_4,Adv,189.4444703686421,0.0,429.15380549682874,55,4286
3_4_4,Ele,189.4754039497307,0.0,411.9352068696331,51,2785
3_4_5,Adv,208.01405700898087,0.0,463.6414273281114,55,2561
3_4_5,Ele,139.69821673525377,0.0,391.190781049936,51,2187
3_5_1,Adv,200.44325971058643,0.0,451.943903835146,52,3939
3_5_1,Ele,188.3551175656985,0.0,412.98180439727065,55,2892
3_5_2,Adv,166.38549222797928,0.0,422.5315789473684,52,3860
3_5_2,Ele,156.49194187582563,0.0,370.20125,55,3785
3_5_3,Adv,224.3749566423864,0.0,480.5891530460624,55,2883
3_5_3,Ele,182.6455965909091,0.0,417.1370640713706,52,2816
3_5_4,Adv,189.11601176156108,0.0,426.19457831325303,52,3741
3_5_4,Ele,212.7365977205572,0.0,425.6528716216216,55,2369
3_6_1,Adv,135.1962910128388,0.0,380.6128514056225,52,3505
3_6_1,Ele,129.57294242317204,0.0,356.829766536965,55,2831
3_6_2,Adv,204.81164383561645,0.0,441.3653136531365,55,1752
3_6_2,Ele,218.6270207852194,32.5,436.2465437788018,52,1732
3_6_3,Adv,182.64133456904543,0.0,470.89605734767025,52,2158
3_6_3,Ele,149.96807953950812,0.0,372.6775032509753,55,1911
3_6_4,Adv,177.5351876675603,0.0,420.7823669579031,55,2984
3_6_4,Ele,181.3055805580558,0.0,421.40271966527195,52,2222
3_6_5,Adv,180.92536093707437,0.0,411.00061881188117,52,3671
3_6_5,Ele,159.22183222183222,0.0,411.6361161524501,55,2849
3_6_6,Adv,211.67495513970778,0.0,453.95492028587137,55,3901
3_6_6,Ele,198.72883708021092,0.0,446.1183800623053,52,3603
3_6_7,Adv,193.69238427078147,0.0,429.0275633958104,52,2009
3_6_7,Ele,138.0112745098039,0.0,354.1421383647799,55,2040
3_7_1,Adv,214.10699039487727,0.0,467.6416083916084,55,3748
