text_id,align_idx,level,mean_NF,median_NF,mean_nonzero_NF,n_subjects,n_rows
1_10_5,15,Ele,1.6136363636363635,1.0,1.9661538461538461,54,1188
1_10_5,16,Adv,2.1152927120669056,2.0,2.5865595325054787,54,1674
1_10_5,16,Ele,1.8557098765432098,2.0,2.2084481175390267,54,1296
1_10_5,17,Adv,1.6542022792022792,1.0,2.126831501831502,54,2808
1_10_5,17,Ele,1.3240740740740742,1.0,1.846077457795432,54,1404
1_10_6,18,Adv,1.8756613756613756,1.0,2.270616493194556,54,1512
1_10_6,18,Ele,1.9944444444444445,2.0,2.4645308924485128,54,1080
1_10_6,19,Adv,1.96415770609319,2.0,2.3740072202166065,54,1674
1_10_6,19,Ele,1.6627384960718294,1.0,2.1867158671586715,54,1782
1_10_6,20,Adv,1.6306042884990253,1.0,2.101758793969849,54,1026
1_10_6,20,Ele,1.5174897119341564,1.0,2.1564327485380117,54,972
1_10_6,21,Adv,1.5506172839506174,1.0,2.0128205128205128,54,810
1_10_6,22,Adv,1.3528265107212476,1.0,1.81913499344692,54,1026
1_10_6,22,Ele,1.1228070175438596,1.0,1.575923392612859,54,1026
1_10_6,23,Adv,1.5,1.0,1.9030837004405285,54,864
1_10_7,24,Adv,1.4566137566137567,1.0,1.8999309868875087,54,1890
1_10_7,24,Ele,1.8055555555555556,1.0,2.158671586715867,54,648
1_10_7,25,Adv,1.647147147147147,1.0,2.086873811033608,54,1998
1_10_7,25,Ele,1.6990740740740742,1.0,2.112230215827338,54,1728
1_10_7,26,Adv,1.2574074074074073,1.0,1.6560975609756097,54,1080
1_10_7,26,Ele,1.3518518518518519,1.0,1.8024691358024691,54,1080
1_10_7,27,Adv,1.0852713178294573,1.0,1.5412844036697249,54,2322
1_10_7,27,Ele,1.161574074074074,1.0,1.6952702702702702,54,2160
1_1_1,28,Adv,1.7447089947089947,1.0,2.2999128160418483,54,1512
1_1_1,28,Ele,1.4583333333333333,1.0,1.9464469618949536,54,1296
1_1_1,29,Adv,1.4874074074074075,1.0,1.9666993143976494,54,1350
1_1_1,29,Ele,1.3527336860670194,1.0,1.8283671036948748,54,1134
1_1_1,30,Adv,2.1059259259259258,2.0,2.4550949913644216,54,1350
