pred_col,text_col,level_type
SkipRateTotal,RWKV-4 169M Mean,diff
SkipRateTotal,RWKV-4 430M Mean,Adv
SkipRateTotal,RWKV-4 430M Mean,Ele
SkipRateTotal,RWKV-4 430M Mean,diff
SkipRateTotal,Mamba 370M Mean,Adv
SkipRateTotal,Mamba 370M Mean,Ele
SkipRateTotal,Mamba 370M Mean,diff
SkipRateTotal,Mamba 790M Mean,Adv
SkipRateTotal,Mamba 790M Mean,Ele
SkipRateTotal,Mamba 790M Mean,diff
SkipRateTotal,Mamba 1.4B Mean,Adv
SkipRateTotal,Mamba 1.4B Mean,Ele
SkipRateTotal,Mamba 1.4B Mean,diff
SkipRateTotal,Mamba 2.8B Mean,Adv
SkipRateTotal,Mamba 2.8B Mean,Ele
SkipRateTotal,Mamba 2.8B Mean,diff
RegRateTotal,flesch_reading_ease,Adv
RegRateTotal,flesch_reading_ease,Ele
RegRateTotal,flesch_reading_ease,diff
RegRateTotal,dale_chall_score,Adv
RegRateTotal,dale_chall_score,Ele
RegRateTotal,dale_chall_score,diff
RegRateTotal,gunning_fog_index,Adv
RegRateTotal,gunning_fog_index,Ele
RegRateTotal,gunning_fog_index,diff
RegRateTotal,ARI,Adv
RegRateTotal,ARI,Ele
RegRateTotal,ARI,diff
RegRateTotal,smog_index,Adv
RegRateTotal,smog_index,Ele
RegRateTotal,smog_index,diff
RegRateTotal,coleman_liau_index,Adv
RegRateTotal,coleman_liau_index,Ele
RegRateTotal,coleman_liau_index,diff
RegRateTotal,flesch_kincaid_grade_score,Adv
RegRateTotal,flesch_kincaid_grade_score,Ele
RegRateTotal,flesch_kincaid_grade_score,diff
RegRateTotal,CML2RI,Adv
RegRateTotal,CML2RI,Ele
RegRateTotal,CML2RI,diff
RegRateTotal,CAREC,Adv
RegRateTotal,CAREC,Ele
RegRateTotal,CAREC,diff
RegRateTotal,CARES,Adv
RegRateTotal,CARES,Ele
RegRateTotal,CARES,diff
RegRateTotal,SBERT,Adv
RegRateTotal,SBERT,Ele
RegRateTotal,SBERT,diff
RegRateTotal,llama-3.3-70b-versatile_clear_prompt,Adv
RegRateTotal,llama-3.3-70b-versatile_clear_prompt,Ele
RegRateTotal,llama-3.3-70b-versatile_clear_prompt,diff
RegRateTotal,gpt-4o_clear_prompt,Adv
RegRateTotal,gpt-4o_clear_prompt,Ele
RegRateTotal,gpt-4o_clear_prompt,diff
RegRateTotal,gpt-5_clear_prompt,Adv
RegRateTotal,gpt-5_clear_prompt,Ele
RegRateTotal,gpt-5_clear_prompt,diff
RegRateTotal,gemini-2.0-flash_clear_prompt,Adv
RegRateTotal,gemini-2.0-flash_clear_prompt,Ele
RegRateTotal,gemini-2.0-flash_clear_prompt,diff
RegRateTotal,gemini-2.5-pro_clear_prompt,Adv
RegRateTotal,gemini-2.5-pro_clear_prompt,Ele
RegRateTotal,gemini-2.5-pro_clear_prompt,diff
RegRateTotal,claude-sonnet-4-0_clear_prompt,Adv
RegRateTotal,claude-sonnet-4-0_clear_prompt,Ele
RegRateTotal,claude-sonnet-4-0_clear_prompt,diff
RegRateTotal,text_evaluator,Adv
RegRateTotal,text_evaluator,Ele
RegRateTotal,text_evaluator,diff
RegRateTotal,lexile,Adv
RegRateTotal,lexile,Ele
RegRateTotal,lexile,diff
RegRateTotal,PLL_bert-base-uncased,Adv
RegRateTotal,PLL_bert-base-uncased,Ele
RegRateTotal,PLL_bert-base-uncased,diff
RegRateTotal,cpidr_density,Adv
RegRateTotal,cpidr_density,Ele
RegRateTotal,cpidr_density,diff
RegRateTotal,avg_integration_cost,Adv
RegRateTotal,avg_integration_cost,Ele
RegRateTotal,avg_integration_cost,diff
RegRateTotal,avg_embedding_depth,Adv
RegRateTotal,avg_embedding_depth,Ele
