l1_or_l2,batch,text_level,preview,version,measure,n_raters,n_items,kendalls_w,kendalls_w_pvalue,avg_spearmans_rho,avg_kendalls_tau,avg_pearson_r
L1_and_L2,2,paragraph,Hunting,V0,TF,45,54,0.1735317865352806,0.0,0.1547486063842693,0.10559471768551244,0.1658919724063936
L1_and_L2,2,paragraph,Hunting,V1,TF,47,54,0.11661017703707557,0.0,0.09740605045092503,0.0663612838747672,0.09057669634837215
L1_and_L2,2,paragraph,Hunting,V0,RR,45,54,0.1228650445757364,0.0,0.10293713281365707,0.07009500997989741,0.1201379593431984
L1_and_L2,2,paragraph,Hunting,V1,RR,47,54,0.1009908613195339,0.0,0.08145087077793611,0.05514733685555242,0.08347373006827555
L1_and_L2,2,paragraph,Hunting,V0,SR,45,54,0.1384986882568993,0.0,0.11893057192994624,0.08120376560396786,0.1158213339281269
L1_and_L2,2,paragraph,Hunting,V1,SR,47,54,0.11805210125460901,0.0,0.09888518717807596,0.06764673863382366,0.09013998797719511
L1_and_L2,2,sentence,Gathering,V0,TF,53,285,0.30658758453913415,0.0,0.2991117598115213,0.2045640206167545,0.287381345721301
L1_and_L2,2,sentence,Gathering,V1,TF,53,289,0.28749355653085706,0.0,0.28322610692995703,0.19325673073122604,0.26719015743253366
L1_and_L2,2,sentence,Gathering,V0,RR,53,285,0.1320099926865308,0.0,0.1213604295591088,0.0844298492208782,0.12845949326777145
L1_and_L2,2,sentence,Gathering,V1,RR,53,289,0.1444748204007609,0.0,0.12112024726897684,0.08414444686920372,0.11846751991332095
L1_and_L2,2,sentence,Gathering,V0,SR,53,285,0.24975036436534623,0.0,0.2359569767892,0.16579113114779367,0.23346246652262384
L1_and_L2,2,sentence,Gathering,V1,SR,53,289,0.23203499416941362,0.0,0.21782563191080873,0.1521608508301843,0.2252613017212726
L1_and_L2,2,sentence,Hunting,V0,TF,45,285,0.20964552615406506,0.0,0.1911615202797985,0.12974013925683453,0.1928190828535971
L1_and_L2,2,sentence,Hunting,V1,TF,47,289,0.18564076471543348,0.0,0.17685420988484984,0.11986340581584279,0.1803626241133254
L1_and_L2,2,sentence,Hunting,V0,RR,45,285,0.17912753234631815,0.0,0.1316481700392394,0.09238320948063497,0.13180105783173837
L1_and_L2,2,sentence,Hunting,V1,RR,47,289,0.17589825535907355,0.0,0.1109358426224937,0.07841008598752627,0.1068528613689041
L1_and_L2,2,sentence,Hunting,V0,SR,45,285,0.18579514647466217,0.0,0.16752613717558326,0.11618996883149507,0.15976288731939292
L1_and_L2,2,sentence,Hunting,V1,SR,47,289,0.1794868812141945,0.0,0.16187715427015859,0.11205853085718973,0.15510415879709796
L1_and_L2,3,paragraph,Gathering,V0,TF,49,54,0.21412295096216105,0.0,0.19775084465151746,0.13596909039248983,0.18763384446101564
L1_and_L2,3,paragraph,Gathering,V1,TF,51,54,0.25576808614827373,0.0,0.24088344787123922,0.16558227483865662,0.23595576741414592
L1_and_L2,3,paragraph,Gathering,V0,RR,49,54,0.15179616332595045,0.0,0.13413491368512798,0.09122935888503172,0.13579271822574887
L1_and_L2,3,paragraph,Gathering,V1,RR,51,54,0.1696156504582872,0.0,0.15301493515342848,0.10494792226156013,0.16073799499601613
L1_and_L2,3,paragraph,Gathering,V0,SR,49,54,0.17035978671932245,0.0,0.15309228722881932,0.10505996646116764,0.1536063956264049
L1_and_L2,3,paragraph,Gathering,V1,SR,51,54,0.18612946436062364,0.0,0.1698673052941164,0.11745810638740835,0.17150114378168582
L1_and_L2,3,paragraph,Hunting,V0,TF,42,54,0.19541523997948076,0.0,0.1757912214423949,0.12058119083736508,0.17288900925025139
L1_and_L2,3,paragraph,Hunting,V1,TF,44,54,0.20532819226098503,0.0,0.1868474525461242,0.12805988804233645,0.18988895359638258
L1_and_L2,3,paragraph,Hunting,V0,RR,42,54,0.1512700487094018,0.0,0.13058091284200773,0.0889735289099016,0.14127364954134486
